31835,216,3
P-1,U3,171,263,0,224,318,99
P-2,U6,0,200,79,56,299,160
P-3,U5,189,0,234,240,101,276
P-4,U1,70,138,0,178,213,56
P-5,U1,0,0,95,88,58,159
P-6,U3,0,79,83,91,135,167
P-7,NONE,-1,-1,-1,-1,-1,-1
P-8,NONE,-1,-1,-1,-1,-1,-1
P-9,U3,96,0,80,169,71,168
P-10,U3,159,175,0,229,263,85
P-11,U4,0,101,0,55,181,81
P-12,U4,126,72,0,174,152,88
P-13,NONE,-1,-1,-1,-1,-1,-1
P-14,U1,137,198,75,182,244,156
P-15,U6,113,98,231,173,182,280
P-16,U5,158,176,160,206,269,223
P-17,U3,0,64,167,83,127,224
P-18,NONE,-1,-1,-1,-1,-1,-1
P-19,U2,56,0,85,107,87,154
P-20,U5,0,200,110,88,306,166
P-21,NONE,-1,-1,-1,-1,-1,-1
P-22,NONE,-1,-1,-1,-1,-1,-1
P-23,U5,100,245,163,151,295,273
P-24,NONE,-1,-1,-1,-1,-1,-1
P-25,U4,0,234,71,44,311,124
P-26,U4,0,44,94,69,100,167
P-27,U4,176,0,61,238,93,110
P-28,U1,91,0,0,172,64,95
P-29,U4,70,0,94,132,86,147
P-30,NONE,-1,-1,-1,-1,-1,-1
P-31,NONE,-1,-1,-1,-1,-1,-1
P-32,U4,0,0,94,70,44,192
P-33,NONE,-1,-1,-1,-1,-1,-1
P-34,NONE,-1,-1,-1,-1,-1,-1
P-35,NONE,-1,-1,-1,-1,-1,-1
P-36,U3,92,95,0,178,175,78
P-37,U4,0,72,170,59,148,221
P-38,NONE,-1,-1,-1,-1,-1,-1
P-39,NONE,-1,-1,-1,-1,-1,-1
P-40,U2,178,73,87,223,163,157
P-41,U5,75,205,0,179,295,68
P-42,U5,198,0,172,239,109,234
P-43,NONE,-1,-1,-1,-1,-1,-1
P-44,U4,123,0,179,172,84,219
P-45,U3,0,169,0,91,241,81
P-46,U6,0,0,199,62,94,270
P-47,NONE,-1,-1,-1,-1,-1,-1
P-48,U4,111,204,152,164,269,200
P-49,U5,0,245,215,100,285,284
P-50,U5,107,96,81,171,200,154
P-51,NONE,-1,-1,-1,-1,-1,-1
P-52,NONE,-1,-1,-1,-1,-1,-1
P-53,U4,0,181,71,44,234,177
P-54,U4,115,181,0,221,232,59
P-55,NONE,-1,-1,-1,-1,-1,-1
P-56,NONE,-1,-1,-1,-1,-1,-1
P-57,U4,44,236,0,127,300,59
P-58,NONE,-1,-1,-1,-1,-1,-1
P-59,U4,174,102,0,223,181,85
P-60,NONE,-1,-1,-1,-1,-1,-1
P-61,NONE,-1,-1,-1,-1,-1,-1
P-62,NONE,-1,-1,-1,-1,-1,-1
P-63,NONE,-1,-1,-1,-1,-1,-1
P-64,NONE,-1,-1,-1,-1,-1,-1
P-65,U2,108,0,0,158,78,110
P-66,NONE,-1,-1,-1,-1,-1,-1
P-67,NONE,-1,-1,-1,-1,-1,-1
P-68,U6,136,253,141,228,299,222
P-69,U3,0,208,132,84,255,186
P-70,NONE,-1,-1,-1,-1,-1,-1
P-71,U5,158,176,223,201,275,283
P-72,NONE,-1,-1,-1,-1,-1,-1
P-73,U6,64,0,103,168,86,166
P-74,NONE,-1,-1,-1,-1,-1,-1
P-75,U4,174,93,85,217,167,170
P-76,U2,0,254,0,92,294,96
P-77,NONE,-1,-1,-1,-1,-1,-1
P-78,U1,0,127,64,74,231,106
P-79,NONE,-1,-1,-1,-1,-1,-1
P-80,U6,90,187,148,133,272,192
P-81,NONE,-1,-1,-1,-1,-1,-1
P-82,U6,168,0,103,234,71,200
P-83,NONE,-1,-1,-1,-1,-1,-1
P-84,NONE,-1,-1,-1,-1,-1,-1
P-85,U4,172,0,200,219,68,244
P-86,U6,203,198,75,244,261,140
P-87,U2,0,0,98,53,107,152
P-88,NONE,-1,-1,-1,-1,-1,-1
P-89,NONE,-1,-1,-1,-1,-1,-1
P-90,NONE,-1,-1,-1,-1,-1,-1
P-91,NONE,-1,-1,-1,-1,-1,-1
P-92,U4,121,219,87,179,277,152
P-93,NONE,-1,-1,-1,-1,-1,-1
P-94,U6,136,198,75,203,296,141
P-95,NONE,-1,-1,-1,-1,-1,-1
P-96,NONE,-1,-1,-1,-1,-1,-1
P-97,U4,70,0,147,123,53,240
P-98,NONE,-1,-1,-1,-1,-1,-1
P-99,U4,55,101,0,126,171,68
P-100,NONE,-1,-1,-1,-1,-1,-1
P-101,NONE,-1,-1,-1,-1,-1,-1
P-102,U1,0,126,0,70,232,64
P-103,U5,198,0,70,242,78,172
P-104,NONE,-1,-1,-1,-1,-1,-1
P-105,U6,0,0,0,80,95,103
P-106,U3,183,0,0,237,90,92
P-107,NONE,-1,-1,-1,-1,-1,-1
P-108,NONE,-1,-1,-1,-1,-1,-1
P-109,U6,62,0,222,160,79,266
