-15,-14
-15,-13
-15,-11
-15,-8
-15,-7
-15,-4
-15,-2
-15,-1
-15,1
-15,2
-15,4
-15,7
-15,8
-15,11
-15,13
-15,14
-14,-15
-14,-13
-14,-11
-14,-9
-14,-5
-14,-3
-14,-1
-14,1
-14,3
-14,5
-14,9
-14,11
-14,13
-14,15
-13,-15
-13,-14
-13,-12
-13,-11
-13,-10
-13,-9
-13,-8
-13,-7
-13,-6
-13,-5
-13,-4
-13,-3
-13,-2
-13,-1
-13,1
-13,2
-13,3
-13,4
-13,5
-13,6
-13,7
-13,8
-13,9
-13,10
-13,11
-13,12
-13,14
-13,15
-12,-13
-12,-11
-12,-7
-12,-5
-12,-1
-12,1
-12,5
-12,7
-12,11
-12,13
-11,-15
-11,-14
-11,-13
-11,-12
-11,-10
-11,-9
-11,-8
-11,-7
-11,-6
-11,-5
-11,-4
-11,-3
-11,-2
-11,-1
-11,1
-11,2
-11,3
-11,4
-11,5
-11,6
-11,7
-11,8
-11,9
-11,10
-11,12
-11,13
-11,14
-11,15
-10,-13
-10,-11
-10,-9
-10,-7
-10,-3
-10,-1
-10,1
-10,3
-10,7
-10,9
-10,11
-10,13
-9,-14
-9,-13
-9,-11
-9,-10
-9,-8
-9,-7
-9,-5
-9,-4
-9,-2
-9,-1
-9,1
-9,2
-9,4
-9,5
-9,7
-9,8
-9,10
-9,11
-9,13
-9,14
-8,-15
-8,-13
-8,-11
-8,-9
-8,-7
-8,-5
-8,-3
-8,-1
-8,1
-8,3
-8,5
-8,7
-8,9
-8,11
-8,13
-8,15
-7,-15
-7,-13
-7,-12
-7,-11
-7,-10
-7,-9
-7,-8
-7,-6
-7,-5
-7,-4
-7,-3
-7,-2
-7,-1
-7,1
-7,2
-7,3
-7,4
-7,5
-7,6
-7,8
-7,9
-7,10
-7,11
-7,12
-7,13
-7,15
-6,-13
-6,-11
-6,-7
-6,-5
-6,-1
-6,1
-6,5
-6,7
-6,11
-6,13
-5,-14
-5,-13
-5,-12
-5,-11
-5,-9
-5,-8
-5,-7
-5,-6
-5,-4
-5,-3
-5,-2
-5,-1
-5,1
-5,2
-5,3
-5,4
-5,6
-5,7
-5,8
-5,9
-5,11
-5,12
-5,13
-5,14
-4,-15
-4,-13
-4,-11
-4,-9
-4,-7
-4,-5
-4,-3
-4,-1
-4,1
-4,3
-4,5
-4,7
-4,9
-4,11
-4,13
-4,15
-3,-14
-3,-13
-3,-11
-3,-10
-3,-8
-3,-7
-3,-5
-3,-4
-3,-2
-3,-1
-3,1
-3,2
-3,4
-3,5
-3,7
-3,8
-3,10
-3,11
-3,13
-3,14
-2,-15
-2,-13
-2,-11
-2,-9
-2,-7
-2,-5
-2,-3
-2,-1
-2,1
-2,3
-2,5
-2,7
-2,9
-2,11
-2,13
-2,15
-1,-15
-1,-14
-1,-13
-1,-12
-1,-11
-1,-10
-1,-9
-1,-8
-1,-7
-1,-6
-1,-5
-1,-4
-1,-3
-1,-2
-1,-1
-1,0
-1,1
-1,2
-1,3
-1,4
-1,5
-1,6
-1,7
-1,8
-1,9
-1,10
-1,11
-1,12
-1,13
-1,14
-1,15
0,-1
0,0
0,1
1,-15
1,-14
1,-13
1,-12
1,-11
1,-10
1,-9
1,-8
1,-7
1,-6
1,-5
1,-4
1,-3
1,-2
1,-1
1,0
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
2,-15
2,-13
2,-11
2,-9
2,-7
2,-5
2,-3
2,-1
2,1
2,3
2,5
2,7
2,9
2,11
2,13
2,15
3,-14
3,-13
3,-11
3,-10
3,-8
3,-7
3,-5
3,-4
3,-2
3,-1
3,1
3,2
3,4
3,5
3,7
3,8
3,10
3,11
3,13
3,14
4,-15
4,-13
4,-11
4,-9
4,-7
4,-5
4,-3
4,-1
4,1
4,3
4,5
4,7
4,9
4,11
4,13
4,15
5,-14
5,-13
5,-12
5,-11
5,-9
5,-8
5,-7
5,-6
5,-4
5,-3
5,-2
5,-1
5,1
5,2
5,3
5,4
5,6
5,7
5,8
5,9
5,11
5,12
5,13
5,14
6,-13
6,-11
6,-7
6,-5
6,-1
6,1
6,5
6,7
6,11
6,13
7,-15
7,-13
7,-12
7,-11
7,-10
7,-9
7,-8
7,-6
7,-5
7,-4
7,-3
7,-2
7,-1
7,1
7,2
7,3
7,4
7,5
